simulation,profit,volume
simulation n°0,-0.2425695923719502,-0.00025536350382537876
simulation n°1,12.400610872087185,-0.04446572494823897
simulation n°2,11.74928336403272,0.0029169126967190095
simulation n°3,27.979174570918445,0.00680375877745476
simulation n°4,33.88078167706655,-0.09996693941257462
simulation n°5,18.45818407429647,0.5522848828773768
simulation n°6,11.53662436759953,-1.5648071641112438
simulation n°7,34.92101919794101,-0.99837316770925
simulation n°8,38.6329914123765,-0.17002909494645735
simulation n°9,19.280345256477887,-0.3696108444419295
simulation n°10,40.88486189475094,-0.012856167342857105
simulation n°11,9.848918953977147,0.05059316231167443
simulation n°12,37.904693702846345,-2.397545134003849
simulation n°13,0.6391637275767721,-0.004191684754069058
simulation n°14,37.70397080105701,1.103150656554135
simulation n°15,6.410561469955638,0.010594749172256002
simulation n°16,18.165848741455136,-0.20196531544498697
simulation n°17,25.833387114427808,-0.5540032886306889
simulation n°18,0.2183263572848091,-0.15348659274872745
simulation n°19,11.940124704176469,-0.04532173835525555
simulation n°20,14.415525051639833,-1.1747141857142651
simulation n°21,7.289693365041899,-0.06784362460233595
simulation n°22,24.954624124016277,-0.5037228147905033
simulation n°23,7.147838632479051,0.018670117555785737
simulation n°24,22.60403465426421,-0.016861374744877367
simulation n°25,20.549791773307305,-0.0027789223888987635
simulation n°26,11.76054401720424,0.16085802182982079
simulation n°27,-2.104524621433143,-0.13030100808632739
simulation n°28,26.42532081358604,-2.5847795684688393
simulation n°29,1.4642792899922767,-0.0016370007884702886
simulation n°30,-1.1717285524241277,0.0009449831765628858
simulation n°31,27.14852462008011,0.06595532694973372
simulation n°32,25.449139319198167,-0.38310989927074246
simulation n°33,20.176744482070717,-0.004845221110777231
simulation n°34,22.691089691057613,0.019966544770817052
simulation n°35,27.398804117298425,-0.7608391447715164
simulation n°36,17.789604249013337,-0.7747726339162284
simulation n°37,26.30182663434735,-0.928761122013821
simulation n°38,0.8502510262262319,-0.04157928727503801
simulation n°39,11.850385604680298,-0.13458368836884915
simulation n°40,11.515332373520096,-0.00018520500777796656
simulation n°41,35.6671934717877,-1.115338196400181
simulation n°42,43.98767037884562,-0.484664983614465
simulation n°43,10.278019649914626,-0.9783249509655434
