Day,Price
1997-01-07,12.993197278911564
1997-01-08,12.92517006802721
1997-01-09,12.27891156462585
1997-01-10,13.333333333333334
1997-01-13,13.60544217687075
1997-01-14,13.639455782312925
1997-01-15,14.761904761904763
1997-01-16,16.02040816326531
1997-01-17,13.299319727891158
1997-01-20,11.08843537414966
1997-01-21,10.170068027210885
1997-01-22,10.374149659863946
1997-01-23,10.068027210884354
1997-01-24,8.91156462585034
1997-01-27,10.136054421768709
1997-01-28,10.374149659863946
1997-01-29,9.897959183673471
1997-01-30,9.727891156462585
1997-01-31,9.421768707482993
1997-02-03,8.469387755102042
1997-02-04,8.80952380952381
1997-02-05,9.013605442176871
1997-02-06,8.537414965986395
1997-02-07,8.129251700680273
1997-02-10,8.231292517006803
1997-02-11,7.959183673469388
1997-02-12,8.231292517006803
1997-02-13,7.551020408163266
1997-02-14,7.2108843537414975
1997-02-18,6.258503401360545
1997-02-19,6.63265306122449
1997-02-20,6.530612244897959
1997-02-21,6.530612244897959
1997-02-24,6.530612244897959
1997-02-25,6.020408163265307
1997-02-26,6.1564625850340144
1997-02-27,6.122448979591837
1997-02-28,6.054421768707483
1997-03-03,6.122448979591837
1997-03-04,6.3605442176870755
1997-03-05,6.530612244897959
1997-03-06,6.190476190476191
1997-03-07,6.428571428571429
1997-03-10,6.63265306122449
1997-03-11,6.530612244897959
1997-03-12,6.666666666666667
1997-03-13,6.73469387755102
1997-03-14,6.700680272108844
1997-03-17,6.836734693877551
1997-03-18,6.496598639455782
1997-03-19,6.394557823129252
1997-03-20,6.394557823129252
1997-03-21,6.3605442176870755
1997-03-24,6.122448979591837
1997-03-25,6.292517006802722
1997-03-26,6.292517006802722
1997-03-27,6.258503401360545
1997-03-31,6.258503401360545
1997-04-01,6.63265306122449
1997-04-02,6.292517006802722
1997-04-03,6.3605442176870755
1997-04-04,6.496598639455782
1997-04-07,6.7687074829931975
1997-04-08,6.836734693877551
1997-04-09,6.666666666666667
1997-04-10,6.700680272108844
1997-04-11,6.73469387755102
1997-04-14,6.802721088435375
1997-04-15,6.802721088435375
1997-04-16,6.870748299319728
1997-04-17,7.07482993197279
1997-04-18,7.142857142857143
1997-04-21,7.108843537414966
1997-04-22,7.142857142857143
1997-04-23,7.551020408163266
1997-04-24,7.1768707482993195
1997-04-25,7.346938775510205
1997-04-28,7.142857142857143
1997-04-29,7.108843537414966
1997-04-30,7.346938775510205
1997-05-01,7.448979591836735
1997-05-02,7.517006802721089
1997-05-05,7.585034013605442
1997-05-06,7.653061224489797
1997-05-07,7.959183673469388
1997-05-08,7.925170068027212
1997-05-09,7.8231292517006805
1997-05-12,7.72108843537415
1997-05-13,7.4149659863945585
1997-05-14,7.551020408163266
1997-05-15,7.653061224489797
1997-05-16,7.448979591836735
1997-05-19,7.653061224489797
1997-05-20,7.551020408163266
1997-05-21,7.517006802721089
1997-05-22,7.551020408163266
1997-05-23,7.482993197278913
1997-05-27,7.789115646258504
1997-05-28,7.959183673469388
1997-05-29,7.789115646258504
1997-05-30,7.585034013605442
1997-06-02,7.482993197278913
1997-06-03,7.1768707482993195
1997-06-04,7.448979591836735
1997-06-05,7.4149659863945585
1997-06-06,7.448979591836735
1997-06-09,7.448979591836735
1997-06-10,7.346938775510205
1997-06-11,7.346938775510205
1997-06-12,7.278911564625851
1997-06-13,7.312925170068027
1997-06-16,7.482993197278913
1997-06-17,7.482993197278913
1997-06-18,7.551020408163266
1997-06-19,7.585034013605442
1997-06-20,7.653061224489797
1997-06-23,7.789115646258504
1997-06-24,7.891156462585034
1997-06-25,7.891156462585034
1997-06-26,7.585034013605442
1997-06-27,7.380952380952381
1997-06-30,7.380952380952381
1997-07-01,7.346938775510205
1997-07-02,7.278911564625851
1997-07-03,7.1768707482993195
1997-07-07,7.244897959183674
1997-07-08,7.244897959183674
1997-07-09,7.346938775510205
1997-07-10,7.312925170068027
1997-07-11,7.346938775510205
1997-07-14,7.4149659863945585
1997-07-15,7.517006802721089
1997-07-16,7.61904761904762
1997-07-17,7.789115646258504
1997-07-18,7.687074829931973
1997-07-21,7.380952380952381
1997-07-22,7.4149659863945585
1997-07-23,7.482993197278913
1997-07-24,7.61904761904762
1997-07-25,7.551020408163266
1997-07-28,7.448979591836735
1997-07-29,7.585034013605442
1997-07-30,7.448979591836735
1997-07-31,7.585034013605442
1997-08-01,7.61904761904762
1997-08-04,7.687074829931973
1997-08-05,7.925170068027212
1997-08-06,8.095238095238095
1997-08-07,8.503401360544219
1997-08-08,8.095238095238095
1997-08-11,8.605442176870747
1997-08-12,8.70748299319728
1997-08-13,8.333333333333334
1997-08-14,8.741496598639456
1997-08-15,8.605442176870747
1997-08-18,8.70748299319728
1997-08-19,8.877551020408163
1997-08-20,8.91156462585034
1997-08-21,8.333333333333334
1997-08-22,8.401360544217688
1997-08-25,8.605442176870747
1997-08-26,8.775510204081634
1997-08-27,8.537414965986395
1997-08-28,8.741496598639456
1997-08-29,9.149659863945578
1997-09-02,9.591836734693878
1997-09-03,9.727891156462585
1997-09-04,9.285714285714286
1997-09-05,9.081632653061225
1997-09-08,9.081632653061225
1997-09-09,9.319727891156464
1997-09-10,9.319727891156464
1997-09-11,9.45578231292517
1997-09-12,9.727891156462585
1997-09-15,9.795918367346939
1997-09-16,9.625850340136056
1997-09-17,9.35374149659864
1997-09-18,9.65986394557823
1997-09-19,10.0
1997-09-22,10.136054421768709
1997-09-23,10.510204081632653
1997-09-24,10.306122448979592
1997-09-25,10.374149659863946
1997-09-26,11.020408163265307
1997-09-29,10.510204081632653
